time,economy,value
YR1960,ABW,
YR1960,AFG,
YR1960,AGO,
YR1960,ALB,
YR1960,AND,
YR1960,ARE,
YR1960,ARG,14546306399.4366
YR1960,ARM,
YR1960,ASM,
YR1960,ATG,
YR1960,AUS,15082000000.0
YR1960,AUT,
YR1960,AZE,
YR1960,BDI,
YR1960,BEL,
YR1960,BEN,111793689164.496
YR1960,BFA,
YR1960,BGD,221390736200.0
YR1960,BGR,
YR1960,BHR,
YR1960,BHS,
YR1960,BIH,
YR1960,BLR,
YR1960,BLZ,
YR1960,BMU,
YR1960,BOL,1234531597.83167
YR1960,BRA,20212622043.330498
YR1960,BRB,
YR1960,BRN,
YR1960,BTN,
YR1960,BWA,
YR1960,CAF,
YR1960,CAN,
YR1960,CHE,
YR1960,CHI,
YR1960,CHL,1603069783900.0
YR1960,CHN,
YR1960,CIV,
YR1960,CMR,268919705654.323
YR1960,COD,117364179300.0
YR1960,COG,232891386906.199
YR1960,COL,5512804757947.46
YR1960,COM,
YR1960,CPV,
YR1960,CRI,338618636813.752
YR1960,CUB,
YR1960,CUW,
YR1960,CYM,
YR1960,CYP,
YR1960,CZE,
YR1960,DEU,
YR1960,DJI,
YR1960,DMA,
YR1960,DNK,
YR1960,DOM,45962630507.2741
YR1960,DZA,1579860604554.97
YR1960,ECU,1361659604.35586
YR1960,EGY,54701516959.7319
YR1960,ERI,
YR1960,ESP,
YR1960,EST,
YR1960,ETH,
YR1960,FIN,
YR1960,FJI,
YR1960,FRA,29082811500.0
YR1960,FRO,
YR1960,FSM,
YR1960,GAB,122576358000.0
YR1960,GBR,
YR1960,GEO,
YR1960,GHA,
YR1960,GIB,
YR1960,GIN,
YR1960,GMB,
YR1960,GNB,
YR1960,GNQ,
YR1960,GRC,2429760900.0
YR1960,GRD,
YR1960,GRL,
YR1960,GTM,18783975285.0605
YR1960,GUM,
YR1960,GUY,
YR1960,HKG,
YR1960,HND,11485227000.0
YR1960,HRV,
YR1960,HTI,
YR1960,HUN,
YR1960,IDN,31398594291900.0
YR1960,IMN,
YR1960,IND,495391527474.16003
YR1960,IRL,
YR1960,IRN,107464608400501.0
YR1960,IRQ,
YR1960,ISL,
YR1960,ISR,
YR1960,ITA,
YR1960,JAM,
YR1960,JOR,
YR1960,JPN,
YR1960,KAZ,
YR1960,KEN,103815773100.0
YR1960,KGZ,
YR1960,KHM,
YR1960,KIR,
YR1960,KNA,
YR1960,KOR,1422500000000.0
YR1960,KWT,
YR1960,LAO,
YR1960,LBN,
YR1960,LBR,
YR1960,LBY,
YR1960,LCA,
YR1960,LIE,
YR1960,LKA,223254372461.661
YR1960,LSO,12299000.0
YR1960,LTU,
YR1960,LUX,
YR1960,LVA,
YR1960,MAC,
YR1960,MAF,
YR1960,MAR,27613167200.0
YR1960,MCO,
YR1960,MDA,
YR1960,MDG,2663789824330.27
YR1960,MDV,
YR1960,MEX,178209627056.776
YR1960,MHL,
YR1960,MKD,
YR1960,MLI,
YR1960,MLT,
YR1960,MMR,
YR1960,MNE,
YR1960,MNG,
YR1960,MNP,
YR1960,MOZ,
YR1960,MRT,
YR1960,MUS,
YR1960,MWI,
YR1960,MYS,14087255383.618599
YR1960,NAM,
YR1960,NCL,
YR1960,NER,
YR1960,NGA,
YR1960,NIC,6418859607.22413
YR1960,NLD,
YR1960,NOR,
YR1960,NPL,
YR1960,NRU,
YR1960,NZL,
YR1960,OMN,
YR1960,PAK,375859105548.26495
YR1960,PAN,1547307157.52549
YR1960,PER,8295000000.0
YR1960,PHL,183374808162.801
YR1960,PLW,
YR1960,PNG,
YR1960,POL,
YR1960,PRI,
YR1960,PRK,
YR1960,PRT,
YR1960,PRY,
YR1960,PSE,
YR1960,PYF,
YR1960,QAT,
YR1960,ROU,
YR1960,RUS,
YR1960,RWA,18551765823.2858
YR1960,SAU,
YR1960,SDN,779273499.764174
YR1960,SEN,669780678970.0449
YR1960,SGP,5393500000.0
YR1960,SLB,
YR1960,SLE,
YR1960,SLV,
YR1960,SMR,
YR1960,SOM,6612797952.0
YR1960,SRB,
YR1960,SSD,
YR1960,STP,
YR1960,SUR,
YR1960,SVK,
YR1960,SVN,
YR1960,SWE,165355340400.0
YR1960,SWZ,683330500.0
YR1960,SXM,
YR1960,SYC,
YR1960,SYR,
YR1960,TCA,
YR1960,TCD,628705523200.0
YR1960,TGO,144813115157.186
YR1960,THA,80070545500.0
YR1960,TJK,
YR1960,TKM,
YR1960,TLS,
YR1960,TON,
YR1960,TTO,
YR1960,TUN,
YR1960,TUR,
YR1960,TUV,
YR1960,TZA,
YR1960,UGA,
YR1960,UKR,
YR1960,URY,42885978898.0316
YR1960,USA,
YR1960,UZB,
YR1960,VCT,
YR1960,VEN,
YR1960,VGB,
YR1960,VIR,
YR1960,VNM,
YR1960,VUT,
YR1960,WSM,
YR1960,XKX,
YR1960,YEM,
YR1960,ZAF,113234000000.0
YR1960,ZMB,1591550000.0
YR1960,ZWE,
YR1961,ABW,
YR1961,AFG,
YR1961,AGO,
YR1961,ALB,
YR1961,AND,
YR1961,ARE,
YR1961,ARG,17190372927.2618
YR1961,ARM,
YR1961,ASM,
YR1961,ATG,
YR1961,AUS,16969000000.0
YR1961,AUT,
YR1961,AZE,
YR1961,BDI,
YR1961,BEL,
YR1961,BEN,90532468064.8512
YR1961,BFA,
YR1961,BGD,292930658400.0
YR1961,BGR,
YR1961,BHR,
YR1961,BHS,
YR1961,BIH,
YR1961,BLR,
YR1961,BLZ,
YR1961,BMU,
YR1961,BOL,1306813652.3515599
